gara,drv,k,freeze_L,pit_P,compound_out,pitloss,residuo,gap_rejoin_sim,dpace_prepit,cambio_davanti
Austria,VER,1,48,49,HARD,21.63,2.2914,10.2056,0.0000,1
Austria,VER,3,17,18,HARD,21.63,4.4066,0.3843,-0.9964,1
Austria,VER,5,17,18,HARD,21.63,6.5575,0.3843,-0.9964,0
Canada,ALO,1,19,20,SOFT,24.37,0.9625,21.6402,2.4651,1
Canada,ALO,3,19,20,SOFT,24.37,6.1109,27.5725,2.4651,1
Canada,BOR,1,17,18,MEDIUM,24.37,3.5339,13.0928,0.1481,1
Canada,BOR,3,17,18,MEDIUM,24.37,10.8858,14.5016,0.1481,1
Canada,BOR,5,17,18,MEDIUM,24.37,15.1886,15.7794,0.1481,1
Canada,BOT,1,8,9,MEDIUM,24.37,5.2847,42.9081,1.3786,0
Canada,BOT,3,8,9,MEDIUM,24.37,11.6254,39.4217,1.3786,1
Canada,BOT,5,8,9,MEDIUM,24.37,17.9151,35.9353,1.3786,1
Canada,HAD,1,61,62,SOFT,24.37,8.8620,37.1369,-1.0881,0
Canada,HAD,3,61,62,SOFT,24.37,9.9640,36.9598,-1.0881,0
Canada,HAD,5,61,62,SOFT,24.37,11.4650,36.7826,-1.0881,0
